2024-01-29 19:41:48 | INFO | controller | args: Namespace(host='localhost', port=21001, dispatch_method='shortest_queue', ssl=False)
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Started server process [921063]
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Waiting for application startup.
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Application startup complete.
2024-01-29 19:41:48 | ERROR | stderr | INFO:     Uvicorn running on http://localhost:21001 (Press CTRL+C to quit)
2024-01-29 19:41:56 | INFO | controller | Register a new worker: http://localhost:21002
2024-01-29 19:41:56 | INFO | controller | Register done: http://localhost:21002, {'model_names': ['Mistral-7B-Instruct-v0.1'], 'speed': 1, 'queue_length': 0}
2024-01-29 19:41:56 | INFO | stdout | INFO:     ::1:49112 - "POST /register_worker HTTP/1.1" 200 OK
2024-01-29 19:42:41 | INFO | controller | Receive heart beat. http://localhost:21002
2024-01-29 19:42:41 | INFO | stdout | INFO:     ::1:54218 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-01-29 19:43:26 | INFO | controller | Receive heart beat. http://localhost:21002
2024-01-29 19:43:26 | INFO | stdout | INFO:     ::1:36906 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-01-29 19:44:11 | INFO | controller | Receive heart beat. http://localhost:21002
2024-01-29 19:44:11 | INFO | stdout | INFO:     ::1:58908 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-01-29 19:47:18 | INFO | controller | args: Namespace(host='localhost', port=21001, dispatch_method='shortest_queue', ssl=False)
2024-01-29 19:47:18 | ERROR | stderr | INFO:     Started server process [921328]
2024-01-29 19:47:18 | ERROR | stderr | INFO:     Waiting for application startup.
2024-01-29 19:47:18 | ERROR | stderr | INFO:     Application startup complete.
2024-01-29 19:47:18 | ERROR | stderr | INFO:     Uvicorn running on http://localhost:21001 (Press CTRL+C to quit)
2024-01-29 19:47:26 | INFO | controller | Register a new worker: http://localhost:21002
2024-01-29 19:47:26 | INFO | controller | Register done: http://localhost:21002, {'model_names': ['Mistral-7B-Instruct-v0.1'], 'speed': 1, 'queue_length': 0}
2024-01-29 19:47:26 | INFO | stdout | INFO:     ::1:49958 - "POST /register_worker HTTP/1.1" 200 OK
2024-01-29 19:48:11 | INFO | controller | Receive heart beat. http://localhost:21002
2024-01-29 19:48:11 | INFO | stdout | INFO:     ::1:58324 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-01-29 19:48:50 | INFO | stdout | INFO:     ::1:36070 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:48:50 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [0.0], ret: http://localhost:21002
2024-01-29 19:48:50 | INFO | stdout | INFO:     ::1:36080 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:48:54 | INFO | stdout | INFO:     ::1:36096 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:48:54 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [1.0], ret: http://localhost:21002
2024-01-29 19:48:54 | INFO | stdout | INFO:     ::1:36102 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:48:56 | INFO | controller | Receive heart beat. http://localhost:21002
2024-01-29 19:48:56 | INFO | stdout | INFO:     ::1:50236 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-01-29 19:48:58 | INFO | stdout | INFO:     ::1:50242 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:48:58 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [0.0], ret: http://localhost:21002
2024-01-29 19:48:58 | INFO | stdout | INFO:     ::1:50250 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:00 | INFO | stdout | INFO:     ::1:50258 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:00 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [1.0], ret: http://localhost:21002
2024-01-29 19:49:00 | INFO | stdout | INFO:     ::1:50264 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:01 | INFO | stdout | INFO:     ::1:50280 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:01 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [2.0], ret: http://localhost:21002
2024-01-29 19:49:01 | INFO | stdout | INFO:     ::1:50284 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:03 | INFO | stdout | INFO:     ::1:50290 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:03 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [3.0], ret: http://localhost:21002
2024-01-29 19:49:03 | INFO | stdout | INFO:     ::1:50298 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:04 | INFO | stdout | INFO:     ::1:52380 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:04 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [4.0], ret: http://localhost:21002
2024-01-29 19:49:04 | INFO | stdout | INFO:     ::1:52392 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:06 | INFO | stdout | INFO:     ::1:52406 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:06 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [5.0], ret: http://localhost:21002
2024-01-29 19:49:06 | INFO | stdout | INFO:     ::1:52416 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:09 | INFO | stdout | INFO:     ::1:52424 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:09 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [6.0], ret: http://localhost:21002
2024-01-29 19:49:09 | INFO | stdout | INFO:     ::1:52430 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:12 | INFO | stdout | INFO:     ::1:52438 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:12 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [7.0], ret: http://localhost:21002
2024-01-29 19:49:12 | INFO | stdout | INFO:     ::1:52444 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:13 | INFO | stdout | INFO:     ::1:52450 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:13 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [8.0], ret: http://localhost:21002
2024-01-29 19:49:13 | INFO | stdout | INFO:     ::1:52464 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:15 | INFO | stdout | INFO:     ::1:45968 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:15 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [9.0], ret: http://localhost:21002
2024-01-29 19:49:15 | INFO | stdout | INFO:     ::1:45984 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:18 | INFO | stdout | INFO:     ::1:45986 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:18 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [10.0], ret: http://localhost:21002
2024-01-29 19:49:18 | INFO | stdout | INFO:     ::1:46002 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:22 | INFO | stdout | INFO:     ::1:46008 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:22 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [11.0], ret: http://localhost:21002
2024-01-29 19:49:22 | INFO | stdout | INFO:     ::1:46020 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:24 | INFO | stdout | INFO:     ::1:41834 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:24 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [12.0], ret: http://localhost:21002
2024-01-29 19:49:24 | INFO | stdout | INFO:     ::1:41844 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:28 | INFO | stdout | INFO:     ::1:41848 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:28 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [13.0], ret: http://localhost:21002
2024-01-29 19:49:28 | INFO | stdout | INFO:     ::1:41850 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:35 | INFO | stdout | INFO:     ::1:55468 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:35 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [14.0], ret: http://localhost:21002
2024-01-29 19:49:35 | INFO | stdout | INFO:     ::1:55480 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:39 | INFO | stdout | INFO:     ::1:55488 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:39 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [15.0], ret: http://localhost:21002
2024-01-29 19:49:39 | INFO | stdout | INFO:     ::1:55496 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:41 | INFO | controller | Receive heart beat. http://localhost:21002
2024-01-29 19:49:41 | INFO | stdout | INFO:     ::1:55506 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-01-29 19:49:42 | INFO | stdout | INFO:     ::1:55512 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:42 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [0.0], ret: http://localhost:21002
2024-01-29 19:49:42 | INFO | stdout | INFO:     ::1:55518 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:44 | INFO | stdout | INFO:     ::1:55520 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:44 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [1.0], ret: http://localhost:21002
2024-01-29 19:49:44 | INFO | stdout | INFO:     ::1:55522 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:45 | INFO | stdout | INFO:     ::1:33438 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:45 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [2.0], ret: http://localhost:21002
2024-01-29 19:49:45 | INFO | stdout | INFO:     ::1:33444 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:46 | INFO | stdout | INFO:     ::1:33456 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:46 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [3.0], ret: http://localhost:21002
2024-01-29 19:49:46 | INFO | stdout | INFO:     ::1:33466 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:49 | INFO | stdout | INFO:     ::1:33474 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:49 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [4.0], ret: http://localhost:21002
2024-01-29 19:49:49 | INFO | stdout | INFO:     ::1:33476 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:50 | INFO | stdout | INFO:     ::1:33482 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:50 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [5.0], ret: http://localhost:21002
2024-01-29 19:49:50 | INFO | stdout | INFO:     ::1:33484 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:52 | INFO | stdout | INFO:     ::1:33498 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:52 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [6.0], ret: http://localhost:21002
2024-01-29 19:49:52 | INFO | stdout | INFO:     ::1:33508 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-01-29 19:49:56 | INFO | stdout | INFO:     ::1:47222 - "POST /list_models HTTP/1.1" 200 OK
2024-01-29 19:49:56 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [7.0], ret: http://localhost:21002
