2024-01-29 19:47:21 | INFO | model_worker | args: Namespace(host='localhost', port=21002, worker_address='http://localhost:21002', controller_address='http://localhost:21001', model_path='/data/tir/projects/tir6/bisk/ruiyiwan/selftrain/init-selftrain-round-1/Mistral-7B-Instruct-v0.1', revision='main', device='cuda', gpus=None, num_gpus=2, max_gpu_memory=None, dtype=None, load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, enable_exllama=False, exllama_max_seq_len=4096, exllama_gpu_split=None, exllama_cache_8bit=False, enable_xft=False, xft_max_seq_len=4096, xft_dtype=None, model_names=None, conv_template=None, embed_in_truncate=False, limit_worker_concurrency=5, stream_interval=2, no_register=False, seed=None, debug=False, ssl=False)
2024-01-29 19:47:21 | INFO | model_worker | Loading the model ['Mistral-7B-Instruct-v0.1'] on worker c6c72629 ...
2024-01-29 19:47:22 | ERROR | stderr | Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
2024-01-29 19:47:22 | ERROR | stderr | /home/zqi2/miniconda3/lib/python3.11/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
2024-01-29 19:47:22 | ERROR | stderr |   return self.fget.__get__(instance, owner)()
2024-01-29 19:47:25 | ERROR | stderr | Loading checkpoint shards:  50%|█████     | 1/2 [00:03<00:03,  3.02s/it]
2024-01-29 19:47:26 | ERROR | stderr | Loading checkpoint shards: 100%|██████████| 2/2 [00:04<00:00,  2.01s/it]
2024-01-29 19:47:26 | ERROR | stderr | Loading checkpoint shards: 100%|██████████| 2/2 [00:04<00:00,  2.16s/it]
2024-01-29 19:47:26 | ERROR | stderr | 
2024-01-29 19:47:26 | INFO | model_worker | Register to controller
2024-01-29 19:47:26 | ERROR | stderr | INFO:     Started server process [921329]
2024-01-29 19:47:26 | ERROR | stderr | INFO:     Waiting for application startup.
2024-01-29 19:47:26 | ERROR | stderr | INFO:     Application startup complete.
2024-01-29 19:47:26 | ERROR | stderr | INFO:     Uvicorn running on http://localhost:21002 (Press CTRL+C to quit)
2024-01-29 19:48:11 | INFO | model_worker | Send heart beat. Models: ['Mistral-7B-Instruct-v0.1']. Semaphore: None. call_ct: 0. worker_id: c6c72629. 
2024-01-29 19:48:50 | INFO | stdout | INFO:     ::1:57332 - "POST /worker_get_conv_template HTTP/1.1" 200 OK
2024-01-29 19:48:50 | INFO | stdout | INFO:     ::1:57348 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:48:50 | INFO | stdout | INFO:     ::1:57354 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:48:54 | INFO | stdout | INFO:     ::1:57358 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:48:54 | INFO | stdout | INFO:     ::1:57360 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:48:54 | INFO | stdout | INFO:     ::1:57364 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:48:56 | INFO | model_worker | Send heart beat. Models: ['Mistral-7B-Instruct-v0.1']. Semaphore: Semaphore(value=4, locked=False). call_ct: 2. worker_id: c6c72629. 
2024-01-29 19:48:58 | INFO | stdout | INFO:     ::1:57372 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:48:58 | INFO | stdout | INFO:     ::1:60574 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:48:58 | INFO | stdout | INFO:     ::1:60588 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:00 | INFO | stdout | INFO:     ::1:60594 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:00 | INFO | stdout | INFO:     ::1:60608 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:00 | INFO | stdout | INFO:     ::1:60622 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:01 | INFO | stdout | INFO:     ::1:60624 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:01 | INFO | stdout | INFO:     ::1:60628 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:01 | INFO | stdout | INFO:     ::1:60642 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:03 | INFO | stdout | INFO:     ::1:60656 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:03 | INFO | stdout | INFO:     ::1:60664 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:03 | INFO | stdout | INFO:     ::1:60668 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:04 | INFO | stdout | INFO:     ::1:60674 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:04 | INFO | stdout | INFO:     ::1:42496 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:04 | INFO | stdout | INFO:     ::1:42502 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:06 | INFO | stdout | INFO:     ::1:42514 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:06 | INFO | stdout | INFO:     ::1:42522 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:06 | INFO | stdout | INFO:     ::1:42530 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:09 | INFO | stdout | INFO:     ::1:42536 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:09 | INFO | stdout | INFO:     ::1:42538 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:09 | INFO | stdout | INFO:     ::1:42554 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:12 | INFO | stdout | INFO:     ::1:42566 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:12 | INFO | stdout | INFO:     ::1:42570 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:12 | INFO | stdout | INFO:     ::1:42584 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:13 | INFO | stdout | INFO:     ::1:42592 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:13 | INFO | stdout | INFO:     ::1:42604 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:13 | INFO | stdout | INFO:     ::1:42616 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:15 | INFO | stdout | INFO:     ::1:42622 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:15 | INFO | stdout | INFO:     ::1:40624 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:15 | INFO | stdout | INFO:     ::1:40630 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:18 | INFO | stdout | INFO:     ::1:40638 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:18 | INFO | stdout | INFO:     ::1:40650 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:18 | INFO | stdout | INFO:     ::1:40656 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:22 | INFO | stdout | INFO:     ::1:40668 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:22 | INFO | stdout | INFO:     ::1:40682 - "POST /model_details HTTP/1.1" 200 OK
2024-01-29 19:49:22 | INFO | stdout | INFO:     ::1:40698 - "POST /count_token HTTP/1.1" 200 OK
2024-01-29 19:49:24 | INFO | stdout | INFO:     ::1:40708 - "POST /worker_generate HTTP/1.1" 200 OK
2024-01-29 19:49:24 | INFO | stdout | INFO:     ::1:41742 - "POST /model_details HTTP/1.1" 200 OK
